Lat,Lng,CDD30,HDD30
34.6106,-111.8381,1934.0,2891.0
36.9853,-110.12,1485.0,4689.0
33.5544,-111.4425,3795.0,1282.0
34.9364,-111.6392,107.0,6898.0
34.3222,-111.4533,1148.0,3560.0
31.4553,-110.9681,1591.0,2691.0
34.9589,-111.7553,943.0,3795.0
32.6025,-110.7344,1782.0,2842.0
31.9556,-112.8003,3419.0,1173.0
36.9208,-111.4483,1826.0,4072.0
35.0681,-109.7689,966.0,4540.0
33.0772,-113.0317,4243.0,1087.0
31.9353,-109.2186,773.0,3985.0
34.1547,-114.2897,4361.0,1017.0
31.9356,-109.8378,1498.0,2957.0
34.7994,-109.885,994.0,4594.0
36.1383,-112.0958,3275.0,2064.0
32.6464,-111.4017,3818.0,1356.0
34.1167,-109.9333,198.0,5813.0
34.1242,-109.9219,273.0,5413.0
33.7275,-111.8606,3214.0,1437.0
36.8586,-112.7386,1076.0,4735.0
34.0989,-110.9442,643.0,4552.0
31.8828,-109.2058,492.0,4279.0
34.5706,-112.4322,817.0,4528.0
33.8556,-111.3064,2641.0,2377.0
33.665,-114.2272,4343.0,1315.0
33.6731,-111.1508,2994.0,2046.0
33.0722,-111.7661,3731.0,1467.0
32.815,-109.6808,2243.0,2594.0
34.5172,-109.4028,772.0,4825.0
33.1819,-110.5261,2849.0,2197.0
35.2239,-109.3222,715.0,5095.0
32.2714,-109.2256,1910.0,2825.0
31.7625,-110.8464,2041.0,2028.0
31.4831,-111.5436,1893.0,2131.0
31.5717,-111.5056,1736.0,2492.0
34.8956,-111.7644,1824.0,2898.0
35.3322,-112.8797,789.0,4480.0
34.2639,-110.0075,601.0,4920.0
31.5553,-110.2847,1735.0,2280.0
34.5081,-110.0839,724.0,4753.0
34.5,-110.3333,731.0,4995.0
33.3814,-112.07,3269.0,1411.0
34.1311,-109.275,220.0,5740.0
33.5575,-111.5358,3390.0,1496.0
35.3694,-111.5436,143.0,7181.0
33.3003,-111.0972,3277.0,1481.0
32.7225,-113.9192,3903.0,1257.0
36.9233,-109.09,1328.0,4712.0
33.4258,-111.9217,3566.0,1268.0
36.03,-114.3289,3971.0,1957.0
31.7119,-110.0686,1818.0,2312.0
33.4203,-112.86,3795.0,1391.0
36.1306,-111.2436,1341.0,4285.0
32.2542,-111.1961,3268.0,1490.0
32.2817,-110.9442,3111.0,1544.0
32.25,-110.8333,2998.0,1657.0
32.2292,-110.9536,3284.0,1391.0
32.2581,-111.0053,3265.0,1427.0
31.5678,-111.0497,1850.0,2312.0
34.7706,-112.0264,2077.0,2766.0
36.9953,-111.4914,2198.0,3555.0
35.1706,-111.5067,414.0,5893.0
34.9281,-112.8097,588.0,4803.0
33.8214,-109.9839,790.0,4145.0
33.9792,-112.7403,2528.0,2135.0
34.7061,-113.6136,2669.0,2100.0
32.2553,-109.8369,1653.0,2860.0
35.2406,-112.1903,322.0,5531.0
35.8686,-114.6611,4459.0,1217.0
35.6169,-109.1244,266.0,6495.0
33.7478,-112.5983,3620.0,1589.0
35.5247,-111.3703,1541.0,4140.0
33.595,-112.3014,4109.0,1136.0
34.8775,-114.1344,3346.0,1826.0
32.6114,-114.635,3811.0,1129.0
32.7278,-114.6217,4140.0,841.0
35.9289,-91.0583,1757.0,3800.0
34.7961,-92.8417,1646.0,3515.0
34.1433,-93.0589,1921.0,3027.0
34.025,-91.3444,2076.0,2793.0
35.8306,-91.7944,1437.0,4057.0
35.76,-91.6389,1744.0,3790.0
35.4583,-91.0561,2047.0,3235.0
34.5675,-92.6006,2007.0,3011.0
36.3219,-94.215,1337.0,4336.0
36.3603,-93.5514,1496.0,3915.0
34.4619,-93.9983,1481.0,3449.0
34.5697,-93.1947,1495.0,3569.0
35.1161,-93.6506,1978.0,3294.0
35.9239,-89.9044,1946.0,3613.0
35.0931,-93.9258,1771.0,3545.0
34.8822,-91.2153,1924.0,3370.0
34.9817,-92.0064,1892.0,3346.0
36.1092,-92.1636,1299.0,4182.0
33.3111,-92.485,1972.0,2961.0
33.59,-92.8236,2040.0,2886.0
33.9153,-91.7711,2117.0,2820.0
34.68,-91.2208,1951.0,3313.0
35.4833,-93.45,1714.0,3693.0
35.5328,-93.4036,1539.0,3836.0
35.4564,-93.4425,1869.0,3467.0
35.0833,-92.4294,1843.0,3472.0
36.4197,-90.5858,1794.0,3819.0
33.1111,-91.9481,1964.0,2902.0
35.2342,-93.1675,1972.0,3148.0
35.8272,-93.2044,989.0,4651.0
34.0464,-94.3481,1910.0,3131.0
33.5597,-91.385,2316.0,2768.0
34.9772,-91.4978,2095.0,3191.0
33.8847,-91.5317,2118.0,2747.0
33.1144,-91.2628,2492.0,2427.0
36.4164,-93.7917,1471.0,3981.0
36.0717,-91.6169,1658.0,3840.0
36.1006,-94.1744,1517.0,4013.0
33.8228,-92.3989,1760.0,3221.0
35.9914,-92.7147,1521.0,3986.0
36.4261,-94.4481,1566.0,3767.0
35.2353,-92.3619,1541.0,3905.0
35.5206,-91.9997,1635.0,3727.0
36.2747,-91.5056,1736.0,3801.0
34.5211,-90.59,2183.0,3046.0
33.7089,-93.5561,1992.0,2987.0
34.5128,-93.0486,2025.0,3132.0
36.07,-93.7522,1468.0,3760.0
35.8489,-90.6589,1735.0,3846.0
35.6872,-90.0964,2071.0,3421.0
34.6033,-91.9928,2029.0,2959.0
36.0086,-93.5206,1272.0,4274.0
36.4194,-92.9158,1184.0,4611.0
34.1742,-92.5947,1835.0,3247.0
33.3614,-93.5675,2094.0,2740.0
35.0264,-90.7347,1868.0,3522.0
33.295,-93.2325,2029.0,2831.0
34.3947,-92.8364,1940.0,3180.0
36.4947,-91.535,1318.0,4371.0
34.7392,-90.7664,2067.0,3200.0
35.9156,-92.6394,1363.0,4069.0
35.2539,-91.1892,1933.0,3419.0
34.5731,-94.2494,1517.0,3635.0
35.1581,-92.7672,1769.0,3584.0
34.5408,-93.5878,1529.0,3724.0
35.6494,-94.1542,1500.0,3808.0
36.3458,-92.3939,1542.0,4015.0
35.8444,-92.0978,1649.0,3796.0
34.0783,-93.7019,1595.0,3376.0
33.9294,-93.8583,2188.0,2800.0
35.6042,-91.2744,1880.0,3620.0
34.9553,-93.1594,1791.0,3508.0
33.7667,-93.9167,2079.0,2652.0
35.4833,-93.8167,1656.0,3768.0
35.5125,-93.8683,1725.0,3719.0
36.0336,-90.4978,1805.0,3723.0
34.2256,-92.0189,2162.0,2956.0
36.2639,-90.9681,1573.0,4058.0
35.5325,-90.6872,1768.0,3730.0
33.2511,-91.5058,2112.0,2849.0
33.8203,-93.3878,1821.0,3187.0
33.9539,-92.2019,2287.0,2606.0
33.8103,-91.2778,2174.0,2867.0
34.3703,-91.1242,2059.0,3025.0
36.3561,-91.8036,1415.0,4359.0
35.2683,-91.7164,1908.0,3531.0
34.3019,-92.3914,1950.0,3204.0
33.9153,-92.8267,1830.0,3178.0
34.4744,-91.4172,2043.0,3197.0
35.3028,-93.6369,1837.0,3427.0
34.8992,-94.1942,1625.0,3623.0
33.6044,-92.0997,1949.0,2950.0
35.1242,-90.1805,2021.0,3317.0
35.2094,-92.4453,1753.0,3712.0
35.2547,-90.7964,1816.0,3600.0
36.2,-92.6667,1464.0,3929.0
41.1936,-120.9447,376.0,5696.0
32.8358,-116.7775,1241.0,1909.0
41.4931,-120.5528,206.0,6699.0
33.8647,-117.8425,1638.0,880.0
38.5731,-122.4406,692.0,3328.0
37.9856,-121.7458,1220.0,2478.0
36.4914,-118.8253,1916.0,2740.0
37.0919,-119.5128,1663.0,3117.0
38.9072,-121.0839,1395.0,2895.0
35.2761,-116.0628,3821.0,1823.0
35.4186,-119.0508,1996.0,2369.0
36.9092,-119.0883,1840.0,2880.0
34.8928,-117.0219,2440.0,2381.0
37.0856,-122.0797,395.0,2735.0
37.8744,-122.2606,174.0,2701.0
40.7406,-123.2078,892.0,3802.0
34.2442,-116.9039,87.0,6402.0
37.2064,-119.2419,480.0,4800.0
36.2472,-121.7803,215.0,2922.0
33.6131,-114.5972,4089.0,1163.0
39.3886,-120.0936,33.0,8012.0
38.2119,-119.0142,2.0,9925.0
33.2314,-116.4144,3760.0,1068.0
39.4539,-120.6556,356.0,5689.0
32.9544,-115.5581,3878.0,996.0
38.2575,-119.2286,33.0,8050.0
40.8803,-121.6547,198.0,6508.0
35.4047,-119.4731,1970.0,2404.0
34.5825,-119.9817,861.0,2045.0
38.2769,-120.3114,257.0,5915.0
38.5961,-122.6014,788.0,2700.0
41.3111,-122.8045,268.0,5627.0
38.2486,-120.8433,1485.0,2689.0
41.4219,-120.9017,213.0,6800.0
34.1819,-118.5744,1435.0,1696.0
40.1703,-121.0883,227.0,6354.0
36.4806,-121.7244,292.0,2749.0
41.1417,-123.1392,523.0,5152.0
41.5306,-120.1803,481.0,6413.0
37.9747,-119.9161,671.0,4866.0
40.3033,-121.2422,155.0,6750.0
39.6911,-121.8211,1387.0,2779.0
33.6617,-115.7206,3045.0,1524.0
34.8078,-119.0114,168.0,5047.0
32.64,-117.0858,733.0,1265.0
38.9239,-122.5672,756.0,3713.0
38.8,-123.0175,1149.0,2443.0
36.1356,-120.3606,2156.0,2245.0
39.0911,-120.9481,918.0,3875.0
39.1875,-122.0269,1325.0,2589.0
37.9833,-122.0692,991.0,2203.0
36.0975,-119.5817,1808.0,2492.0
39.8158,-123.2444,691.0,3824.0
41.7958,-124.2147,4.0,4762.0
34.0053,-118.4136,712.0,1368.0
32.9897,-116.5872,419.0,4916.0
38.535,-121.7761,1238.0,2611.0
36.4622,-116.8669,5569.0,1120.0
37.3739,-117.9803,876.0,5108.0
39.3,-120.8333,771.0,4556.0
39.8717,-121.6108,852.0,3927.0
33.7378,-115.3925,4024.0,1172.0
39.3575,-121.2011,912.0,3397.0
39.3239,-120.2331,55.0,7702.0
39.5633,-120.8239,443.0,4718.0
39.9717,-120.0828,352.0,5725.0
41.1833,-122.2736,596.0,4454.0
33.8089,-115.4508,4209.0,1086.0
39.3592,-122.5178,1078.0,3457.0
38.7833,-120.0333,80.0,7706.0
32.8139,-116.975,1406.0,1297.0
32.8839,-116.8164,1460.0,1472.0
32.7669,-115.5617,4127.0,864.0
38.3306,-120.6706,1106.0,2959.0
34.5892,-117.6303,1583.0,3243.0
33.6692,-117.3319,1878.0,1744.0
33.1211,-117.0883,1360.0,1329.0
38.2736,-122.0678,1044.0,2492.0
34.705,-118.4242,1591.0,3158.0
36.3642,-120.1561,1811.0,2314.0
38.7,-121.1667,1535.0,2460.0
41.52,-120.09,310.0,6436.0
39.5092,-123.7567,2.0,4945.0
38.515,-123.2447,11.0,3966.0
37.5422,-122.0158,396.0,2382.0
36.7525,-119.7017,1993.0,2271.0
36.9969,-119.7072,1811.0,2472.0
