GEOID,Population
05000US18181,3249
05000US18183,3206
05000US19001,1694
05000US19003,1016
05000US19005,2071
05000US19007,2193
05000US19009,1436
05000US19011,4391
05000US19013,12912
05000US19015,3096
05000US19017,3986
05000US19019,3548
05000US19021,3433
05000US19023,3251
05000US19025,2312
05000US19027,3584
05000US19029,2317
05000US19031,3018
05000US19033,4768
05000US19035,2038
05000US19037,2224
05000US19039,1197
05000US19041,2295
05000US19043,3785
05000US19045,5544
05000US19047,2838
05000US19049,6830
05000US19051,1200
05000US19053,1742
05000US19055,2581
05000US19057,4180
05000US19059,2654
05000US19061,11566
05000US19063,1625
05000US19065,3806
05000US19067,2384
05000US19069,1737
05000US19071,1847
05000US19073,1842
05000US19075,2656
05000US19077,2415
05000US19079,2438
05000US19081,2045
05000US19083,3152
05000US19085,3127
05000US19087,2931
05000US19089,1489
05000US19091,2044
05000US19093,1784
05000US19095,2312
05000US19097,3389
05000US19099,5026
05000US19101,1849
05000US19103,11294
05000US19105,2930
05000US19107,2583
05000US19109,3242
05000US19111,4100
05000US19113,18462
05000US19115,2195
05000US19117,1434
05000US19119,2589
05000US19121,2087
05000US19123,3216
05000US19125,3864
05000US19127,4984
05000US19129,2256
05000US19131,1736
05000US19133,1923
05000US19135,909
05000US19137,1886
05000US19139,4245
05000US19141,2471
05000US19143,1267
05000US19145,2621
05000US19147,1945
05000US19149,3731
05000US19151,1788
05000US19153,33716
05000US19155,11104
05000US19157,2842
05000US19159,1356
05000US19161,2507
05000US19163,15716
05000US19165,2454
05000US19167,4795
05000US19169,9716
05000US19171,3628
05000US19173,1825
05000US19175,1754
05000US19177,1774
05000US19179,3919
05000US19181,5757
05000US19183,2995
05000US19185,1565
05000US19187,5089
05000US19189,1800
05000US19191,3464
05000US19193,10034
05000US19195,1711
05000US19197,1945
05000US20001,1967
05000US20003,1113
05000US20005,1870
05000US20007,1141
05000US20009,3072
05000US20011,1781
05000US20013,2538
05000US20015,6645
05000US20017,646
05000US20019,851
05000US20021,2151
05000US20023,593
05000US20025,591
05000US20027,1092
05000US20029,1578
05000US20031,2086
05000US20033,499
05000US20035,4548
05000US20037,4487
05000US20039,533
05000US20041,2816
05000US20043,1822
05000US20045,8047
05000US20047,857
05000US20049,837
05000US20051,2496
05000US20053,1320
05000US20055,3366
05000US20057,2776
05000US20059,2941
05000US20061,2761
05000US20063,1099
05000US20065,621
05000US20067,575
05000US20069,1423
05000US20071,280
05000US20073,1362
05000US20075,421
05000US20077,1232
05000US20079,3422
05000US20081,846
05000US20083,567
05000US20085,2559
05000US20087,2840
05000US20089,840
05000US20091,44632
05000US20093,537
05000US20095,1442
05000US20097,752
05000US20099,2942
05000US20101,417
05000US20103,6499
05000US20105,884
05000US20107,1512
05000US20109,544
05000US20111,3540
05000US20113,3791
05000US20115,2687
05000US20117,2222
05000US20119,1057
05000US20121,2776
05000US20123,972
05000US20125,3930
05000US20127,1095
05000US20129,504
05000US20131,2065
05000US20133,2130
05000US20135,833
05000US20137,805
05000US20139,3146
05000US20141,1057
05000US20143,1425
05000US20145,830
05000US20147,1301
05000US20149,2782
05000US20151,1360
05000US20153,697
05000US20155,6907
05000US20157,1290
05000US20159,1920
