puma_id,metro,micro,_none
1703108,1,0,0
4801300,0,0,1
1000104,1,0,0
2602904,1,0,0
4805905,1,0,0
2603004,1,0,0
0602300,0,1,0
4806806,1,0,0
1208623,1,0,0
2100600,0,0.161290322580645,0.838709677419355
3401504,1,0,0
3905100,0.444444444444444,0.555555555555556,0
2503306,1,0,0
1205702,1,0,0
2202300,1,0,0
4201100,0,0.857142857142857,0.142857142857143
1210307,1,0,0
2701404,1,0,0
1305002,1,0,0
3402400,1,0,0
5400900,1,0,0
1000300,1,0,0
0607113,1,0,0
4202803,1,0,0
1208601,1,0,0
5151085,0.363636363636364,0,0.636363636363636
0607704,1,0,0
3904604,1,0,0
3602401,0.740740740740741,0.259259259259259,0
0606101,1,0,0
4202100,1,0,0
5151105,0.130434782608696,0,0.869565217391304
0605500,1,0,0
2504303,1,0,0
1203105,1,0,0
5151215,1,0,0
1303200,0.115384615384615,0,0.884615384615385
5600200,0,0.304347826086957,0.695652173913043
4801502,1,0,0
3904900,0.304347826086957,0.304347826086957,0.391304347826087
4949004,1,0,0
0601304,1,0,0
1703417,1,0,0
3401700,1,0,0
4804802,1,0,0
0900303,1,0,0
0601907,1,0,0
1900100,0,0.272727272727273,0.727272727272727
1208607,1,0,0
0605909,1,0,0
0603762,1,0,0
4804100,0.137931034482759,0,0.862068965517241
3603302,1,0,0
0607108,1,0,0
1703532,1,0,0
4805000,0.307692307692308,0.564102564102564,0.128205128205128
3705200,0.333333333333333,0.666666666666667,0
4500604,1,0,0
0605916,1,0,0
1702601,1,0,0
1703105,1,0,0
3603206,1,0,0
3300900,1,0,0
4935005,1,0,0
4203702,1,0,0
2900902,1,0,0
3901000,1,0,0
1703503,1,0,0
1209907,1,0,0
5502400,1,0,0
0501200,1,0,0
0602901,1,0,0
4100902,1,0,0
1100104,1,0,0
3603313,1,0,0
2603100,1,0,0
2401300,0.25,0.4375,0.3125
4805912,1,0,0
5151115,1,0,0
2200600,0.172413793103448,0.172413793103448,0.655172413793103
4935008,1,0,0
3100500,0,0.647058823529412,0.352941176470588
4200801,1,0,0
0607310,1,0,0
2100100,0,0.8,0.2
5151087,0.794117647058824,0,0.205882352941176
4802306,1,0,0
0606506,1,0,0
3401101,1,0,0
3602203,0.103448275862069,0,0.896551724137931
4802005,1,0,0
4805914,1,0,0
0608104,1,0,0
1601300,0.75,0.03125,0.21875
4500302,1,0,0
4802312,1,0,0
2601300,0,0,1
1703411,1,0,0
0603744,1,0,0
4806400,0,0.642857142857143,0.357142857142857
4953001,1,0,0
3600401,1,0,0
0608510,1,0,0
4001203,1,0,0
4800700,1,0,0
0606509,1,0,0
3601101,1,0,0
0800809,1,0,0
0607114,1,0,0
1901300,0.740740740740741,0.259259259259259,0
4702200,0,0.71875,0.28125
1210503,1,0,0
2400302,1,0,0
4805909,1,0,0
3401302,1,0,0
1901400,0.552631578947368,0.236842105263158,0.210526315789474
3901500,1,0,0
0607316,1,0,0
1703409,1,0,0
0611105,1,0,0
3400502,1,0,0
3400501,1,0,0
3604011,1,0,0
2603001,1,0,0
1209507,1,0,0
4911002,1,0,0
3603103,1,0,0
5311802,1,0,0
2602903,1,0,0
4803602,1,0,0
3904800,0,1,0
0100500,0.181818181818182,0.818181818181818,0
4200701,1,0,0
3401001,1,0,0
1500304,1,0,0
1301003,1,0,0
3500803,1,0,0
2900700,0,0.641025641025641,0.358974358974359
0102400,0.288888888888889,0.177777777777778,0.533333333333333
3602801,1,0,0
1207103,1,0,0
4501202,1,0,0
4203504,1,0,0
1802301,1,0,0
2501900,1,0,0
3300500,0,1,0
3402600,1,0,0
4101323,1,0,0
4001003,1,0,0
0605303,1,0,0
2801000,1,0,0
1500303,1,0,0
4702002,1,0,0
4802322,1,0,0
3601500,0.571428571428571,0.428571428571429,0
3604012,1,0,0
0804106,1,0,0
2602906,1,0,0
1202103,1,0,0
4700300,0.886363636363636,0,0.113636363636364
2202402,1,0,0
1209701,1,0,0
1208900,1,0,0
2101200,0.25,0.375,0.375
2500505,1,0,0
1100103,1,0,0
0400127,1,0,0
4201701,1,0,0
3901200,1,0,0
3500700,1,0,0
5151045,0.813953488372093,0,0.186046511627907
2100900,0,0.694444444444444,0.305555555555556
5151175,1,0,0
2401102,1,0,0
2400601,1,0,0
2401107,1,0,0
3603806,1,0,0
4202902,1,0,0
4203404,1,0,0
2900800,0.653846153846154,0.346153846153846,0
0607318,1,0,0
4001202,1,0,0
4201803,1,0,0
4000701,0,0.464285714285714,0.535714285714286
0603755,1,0,0
3100902,1,0,0
2801100,1,0,0
4801903,1,0,0
5400400,0.911111111111111,0,0.0888888888888889
2701800,1,0,0
4203004,1,0,0
0800100,0.0909090909090909,0.424242424242424,0.484848484848485
4806601,1,0,0
1211102,1,0,0
2601100,0.302325581395349,0.558139534883721,0.13953488372093
4804631,1,0,0
2000500,1,0,0
3703107,1,0,0
1801500,0,0.40625,0.59375
4701601,1,0,0
1901200,0.21875,0.3125,0.46875
5159303,1,0,0
1209502,1,0,0
3200402,1,0,0
3800100,0.0517241379310345,0.53448275862069,0.413793103448276
5151080,0.75,0,0.25
5570301,1,0,0
4000400,0,0.607142857142857,0.392857142857143
0603754,1,0,0
3603211,1,0,0
7200806,1,0,0
2901703,1,0,0
4802304,1,0,0
3900904,1,0,0
3603809,1,0,0
1209904,1,0,0
4804604,1,0,0
0501900,0,0.884615384615385,0.115384615384615
3301000,1,0,0
4804702,1,0,0
3703700,0,0.75,0.25
3603002,1,0,0
4805911,1,0,0
0603720,1,0,0
4202703,1,0,0
5151245,1,0,0
0608103,1,0,0
7200402,0.9375,0.0625,0
4600100,0.769230769230769,0.128205128205128,0.102564102564103
5000400,0,0.761904761904762,0.238095238095238
4802006,1,0,0
2801400,0,0.222222222222222,0.777777777777778
0607702,1,0,0
5311605,1,0,0
4802003,1,0,0
4203302,1,0,0
4701200,0.51219512195122,0.365853658536585,0.121951219512195
1202700,0.605263157894737,0.394736842105263,0
4202600,0,1,0
4501000,0,0.517241379310345,0.482758620689655
2802000,1,0,0
1703415,1,0,0
5310503,1,0,0
3905700,1,0,0
2600500,0,0.75,0.25
1801600,0.592592592592593,0,0.407407407407407
2801700,0,0.518518518518518,0.481481481481481
2602701,1,0,0
1207104,1,0,0
0607320,1,0,0
1703521,1,0,0
2401201,1,0,0
0102701,1,0,0
5311603,1,0,0
5600300,0.67741935483871,0.32258064516129,0
2701402,1,0,0
3100701,0.64,0.36,0
5570201,1,0,0
