DIVISION,REPORTABLE_DOMAIN,TYPEHUQ,KOWNRENT,YEARMADE,OCCUPYYRANGE,BEDROOMS,TOTROOMS,STOVEN,NUMFRIG,NUMPC,INTERNET,INDIALUP,INDSL,INCABLE,INSATEL,FUELHEAT,EMPLOYHH,SDESCENT,Householder_Race,EDUCATION,NHSLDMEM,HHAGE,WORKPAY,RETIREPY,SSINCOME,INVESTMT,MONEYPY,POVERTY100,FOODASST,DOLLAREL,DOLLARNG,DOLLARLP
7,20,2,2,1960,2,4,6,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,2,5,32,1,0,0,0,92500,501,0,1612,1060,0
8,24,2,2,1985,14,3,6,1,1,1,1,0,0,1,0,3,0,0,1,5,1,73,0,0,0,1,6250,100,0,866,0,0
2,3,7,2,1946,2,-2,1,1,1,2,-2,-2,-2,-2,-2,3,0,0,2,5,2,23,0,0,0,0,8750,100,0,726,92,298
7,20,2,1,1963,44,3,5,1,2,2,-2,-2,-2,-2,-2,1,0,0,1,2,2,75,0,1,0,1,52500,501,0,1210,726,0
2,3,9,2,1930,2,1,3,1,1,1,1,0,0,1,0,1,0,0,2,4,1,31,1,0,0,0,37500,501,0,669,1142,0
5,15,2,2,1960,14,4,8,2,2,1,1,0,0,1,0,1,0,0,1,3,4,56,1,1,0,0,2500,100,0,2928,490,0
3,7,2,1,1920,24,3,10,1,1,1,1,0,0,1,0,1,0,0,1,5,2,57,1,0,0,0,67500,501,0,995,1392,0
2,3,1,1,1978,7,2,4,1,1,1,1,0,0,1,0,4,0,0,1,6,1,57,1,0,0,1,42500,501,0,803,0,770
1,2,4,2,1920,2,1,3,1,1,2,-2,-2,-2,-2,-2,1,0,1,1,1,2,49,0,0,1,0,12500,100,1,537,1878,0
3,8,2,1,1995,7,3,6,1,1,1,1,1,0,0,0,1,0,0,1,5,2,79,1,1,0,1,37500,501,0,472,1096,0
2,3,6,2,1970,34,1,3,1,1,2,-2,-2,-2,-2,-2,1,0,0,1,1,1,85,0,1,0,1,8750,100,0,468,823,0
5,17,7,2,1920,2,1,3,1,1,1,1,0,1,0,0,3,0,1,1,3,2,32,1,0,0,0,27500,501,0,458,173,0
