PUMA,CDD,HDD
900901.0,395.0,6825.0
900903.0,654.0,6121.0
900902.0,750.0,5168.0
900906.0,558.0,6271.0
900900.0,652.0,5854.0
900904.0,558.0,6271.0
900905.0,558.0,6271.0
901100.0,376.0,6688.0
901101.0,643.0,5397.0
901300.0,317.0,6783.0
901500.0,164.0,7586.0
1000102.0,1110.0,4431.0
1000104.0,1235.0,4759.0
1000103.0,837.0,5279.0
1000101.0,1125.0,4888.0
1000200.0,1619.0,3334.0
1000300.0,384.0,6886.0
1100101.0,949.0,4694.0
1100103.0,983.0,4990.0
1100102.0,983.0,4990.0
1100105.0,949.0,4694.0
1100104.0,1243.0,4571.0
1200102.0,2736.0,1148.0
1200101.0,2728.0,1321.0
1200500.0,1959.0,2748.0
1200901.0,3289.0,696.0
1200903.0,2736.0,1148.0
1200902.0,3289.0,696.0
1200904.0,3179.0,610.0
1201110.0,4200.0,219.0
1201109.0,3866.0,489.0
1201113.0,4098.0,178.0
1201107.0,4200.0,219.0
1201101.0,3427.0,285.0
1201106.0,4070.0,154.0
1201103.0,4200.0,219.0
1201105.0,4098.0,178.0
1201104.0,2551.0,1604.0
1201112.0,4200.0,219.0
1201114.0,4098.0,178.0
1201102.0,4098.0,178.0
1201108.0,4200.0,219.0
1201111.0,4361.0,149.0
1201500.0,3571.0,489.0
1201701.0,3098.0,636.0
1201900.0,1439.0,4119.0
1202101.0,3540.0,490.0
1202103.0,2245.0,2035.0
1202102.0,3631.0,329.0
1202300.0,3106.0,704.0
1202700.0,3145.0,626.0
1203106.0,2642.0,1338.0
1203102.0,2250.0,2070.0
1203103.0,2728.0,1321.0
1203104.0,2728.0,1321.0
1203107.0,2728.0,1321.0
1203101.0,2728.0,1321.0
1203105.0,2627.0,1354.0
1203301.0,2179.0,2076.0
1203302.0,2110.0,1986.0
1203500.0,3125.0,789.0
1205301.0,3096.0,721.0
1205708.0,3151.0,661.0
1205707.0,3037.0,724.0
1205701.0,3683.0,548.0
1205702.0,3482.0,591.0
1205704.0,3482.0,591.0
1205703.0,3482.0,591.0
1205706.0,2961.0,815.0
1205705.0,3145.0,626.0
1206100.0,3410.0,483.0
1206300.0,2159.0,2167.0
1206901.0,2659.0,1143.0
1206902.0,2416.0,1556.0
1206903.0,2799.0,1020.0
1207105.0,3535.0,466.0
1207102.0,3493.0,543.0
1207101.0,3631.0,329.0
1207104.0,3884.0,239.0
1207103.0,3324.0,556.0
1207301.0,1749.0,3961.0
1207300.0,2551.0,1604.0
1208102.0,4109.0,201.0
1208101.0,3866.0,489.0
1208103.0,3571.0,489.0
1208302.0,2961.0,910.0
1208303.0,2961.0,910.0
1208301.0,2736.0,1148.0
1208500.0,1742.0,3504.0
1208605.0,4361.0,149.0
1208604.0,4070.0,154.0
1208607.0,4361.0,149.0
1208618.0,3565.0,279.0
1208620.0,4361.0,149.0
1208621.0,4361.0,149.0
1208601.0,4361.0,149.0
1208602.0,4098.0,178.0
1208608.0,4098.0,178.0
1208612.0,4070.0,154.0
1208624.0,4070.0,154.0
1208617.0,4361.0,149.0
1208616.0,4070.0,154.0
1208613.0,3884.0,239.0
1208622.0,3884.0,239.0
1208614.0,4070.0,154.0
1208623.0,3565.0,279.0
1208609.0,999.0,6564.0
1208606.0,4361.0,149.0
1208603.0,4361.0,149.0
1208615.0,4361.0,149.0
1208610.0,3761.0,228.0
1208611.0,3565.0,279.0
1208619.0,3565.0,279.0
1208700.0,3917.0,220.0
1208900.0,1635.0,3893.0
1209100.0,2069.0,2275.0
1209300.0,3809.0,373.0
1209506.0,3866.0,489.0
1209502.0,2961.0,910.0
1209504.0,1287.0,4306.0
1209503.0,3866.0,489.0
1209501.0,3428.0,580.0
1209510.0,2991.0,799.0
1209509.0,3428.0,455.0
1209505.0,3428.0,580.0
1209508.0,3271.0,706.0
1209507.0,3428.0,580.0
1209702.0,1929.0,2487.0
1209701.0,3428.0,580.0
1209906.0,3999.0,246.0
1209903.0,3999.0,246.0
1209910.0,3427.0,285.0
1209911.0,3539.0,338.0
1209909.0,4200.0,219.0
1209908.0,2474.0,1461.0
1209905.0,3999.0,246.0
1209904.0,3999.0,246.0
1209901.0,3427.0,285.0
1209902.0,3999.0,246.0
1209907.0,3427.0,285.0
1210102.0,3096.0,721.0
1210103.0,3412.0,639.0
1210104.0,3262.0,657.0
1210101.0,3096.0,721.0
1210307.0,3151.0,661.0
1210304.0,3683.0,548.0
1210308.0,3626.0,409.0
1210303.0,2226.0,2009.0
1210301.0,3412.0,639.0
1210306.0,3683.0,548.0
1210305.0,718.0,7956.0
1210302.0,3412.0,639.0
1210503.0,1597.0,3515.0
1210501.0,3866.0,489.0
1210504.0,3098.0,636.0
1210502.0,3271.0,706.0
1210700.0,2914.0,1026.0
1210900.0,2642.0,1338.0
1211101.0,3105.0,520.0
1211102.0,3106.0,704.0
1211300.0,2650.0,1498.0
1211502.0,3493.0,543.0
1211503.0,3571.0,489.0
1211501.0,3324.0,556.0
1211701.0,2961.0,815.0
1211702.0,1566.0,3439.0
1211704.0,2304.0,1655.0
1211703.0,2991.0,799.0
1212100.0,788.0,7332.0
1212704.0,3289.0,696.0
1212703.0,2961.0,815.0
1212702.0,2819.0,967.0
1212701.0,3191.0,925.0
1300100.0,2930.0,1308.0
1300200.0,2491.0,1744.0
1300300.0,2046.0,2210.0
1300402.0,2454.0,1799.0
1300401.0,2749.0,1420.0
1300500.0,2404.0,1690.0
1300600.0,1191.0,4542.0
1300700.0,2167.0,2031.0
1300800.0,2264.0,2108.0
1300900.0,2264.0,2108.0
1301003.0,1535.0,3093.0
1301004.0,1535.0,3093.0
1301002.0,1608.0,3427.0
1301005.0,1327.0,3490.0
1301006.0,1549.0,3357.0
1301008.0,968.0,3995.0
1301001.0,1327.0,3490.0
1301007.0,1810.0,2827.0
1301100.0,2264.0,2108.0
1301200.0,346.0,6936.0
1301300.0,2250.0,2307.0
1301400.0,2115.0,2364.0
1301500.0,2023.0,2405.0
1301600.0,1640.0,3049.0
1301700.0,1785.0,2861.0
1301800.0,2248.0,1845.0
1301900.0,2404.0,1690.0
1302003.0,1935.0,2615.0
1302001.0,1118.0,3813.0
1302002.0,1935.0,2615.0
1302004.0,400.0,5754.0
1302100.0,877.0,4237.0
1302200.0,1708.0,2687.0
1302300.0,249.0,6542.0
1302400.0,1457.0,3219.0
1302500.0,1426.0,3456.0
1302600.0,1011.0,4265.0
1302700.0,1608.0,3427.0
1302800.0,1569.0,3231.0
1302900.0,1417.0,3467.0
1303005.0,1393.0,3534.0
1303002.0,1417.0,3467.0
1303004.0,1810.0,2827.0
1303001.0,635.0,5036.0
1303003.0,622.0,8303.0
1303101.0,1298.0,3401.0
1303102.0,1549.0,3357.0
1303200.0,752.0,4421.0
1303300.0,1950.0,2518.0
1303400.0,1531.0,3099.0
1303500.0,1101.0,4354.0
1303600.0,2000.0,2482.0
1303700.0,1467.0,3338.0
1303800.0,1093.0,4033.0
1303900.0,1168.0,3911.0
1304003.0,639.0,4755.0
1304005.0,2468.0,1728.0
1304001.0,2069.0,2275.0
1304002.0,770.0,4258.0
1304000.0,2250.0,2307.0
1304006.0,1708.0,2687.0
1304004.0,968.0,3995.0
1304100.0,1903.0,2571.0
1304200.0,2264.0,2108.0
1304300.0,1320.0,5169.0
1304400.0,1981.0,2444.0
1304500.0,2115.0,2364.0
1304600.0,1810.0,2827.0
1305002.0,1810.0,2827.0
1305001.0,2728.0,1321.0
1306001.0,862.0,5462.0
1306002.0,1417.0,3467.0
1500100.0,3490.0,4.0
1500200.0,3592.0,1.0
1500308.0,3806.0,0.0
1500303.0,3784.0,0.0
1500306.0,4295.0,0.0
1500304.0,2739.0,5.0
1500302.0,3784.0,0.0
1500307.0,2366.0,34.0
1500301.0,3352.0,2.0
1500305.0,2739.0,5.0
1600100.0,181.0,7370.0
1600200.0,193.0,7808.0
1600300.0,206.0,8250.0
1600400.0,897.0,6559.0
1600500.0,410.0,6749.0
1600600.0,831.0,5603.0
1600702.0,648.0,6325.0
1600701.0,410.0,6749.0
1600800.0,743.0,5730.0
1600900.0,988.0,5755.0
1601000.0,183.0,7787.0
1601100.0,322.0,7917.0
1601200.0,476.0,6720.0
1601300.0,0.0,11123.0
1700105.0,1100.0,6179.0
1700104.0,1054.0,6046.0
1700202.0,1165.0,5596.0
1700300.0,1010.0,5922.0
1700401.0,1993.0,3086.0
1700501.0,1175.0,5437.0
1700600.0,1027.0,5555.0
1700700.0,1152.0,5264.0
1700800.0,1512.0,4058.0
1700900.0,1414.0,4606.0
1701001.0,1027.0,5555.0
1701104.0,1161.0,5832.0
1701105.0,1501.0,4183.0
1701205.0,1125.0,5449.0
1701204.0,1527.0,4727.0
1701300.0,1165.0,5596.0
1701500.0,895.0,6268.0
1701602.0,234.0,8565.0
1701701.0,998.0,6097.0
1701900.0,1290.0,4712.0
